date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:04	65/65	---M-Z	200	added ('OK')	text/plain	date:Wed,%2007%20Nov%202018%2007:14:03%20GMT	https://www.chronicle-web.com/robots.txt		(from )
14:14:05	1471842/1471842	---MCZ	200	added ('OK')	text/html	date:Wed,%2007%20Nov%202018%2007:14:04%20GMT	https://www.chronicle-web.com/plus/	//vmware-host/Shared%20Folders/Desktop/Source/chronicleplus/www.chronicle-web.com/plus/index.html	(from )
14:14:06	19410/19410	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jul%202017%2004:20:17%20GMT	https://www.chronicle-web.com/plus/cache/images/icon/favicons/apple-touch-icon.png	//vmware-host/Shared%20Folders/Desktop/Source/chronicleplus/www.chronicle-web.com/plus/cache/images/icon/favicons/apple-touch-icon.png	(from https://www.chronicle-web.com/plus/)
14:14:06	1630/1630	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Sep%202018%2003:08:55%20GMT	https://www.chronicle-web.com/plus/cache/images/icon/favicons/favicon-32x32.png	//vmware-host/Shared%20Folders/Desktop/Source/chronicleplus/www.chronicle-web.com/plus/cache/images/icon/favicons/favicon-32x32.png	(from https://www.chronicle-web.com/plus/)
14:14:07	993/993	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jul%202017%2004:20:17%20GMT	https://www.chronicle-web.com/plus/cache/images/icon/favicons/favicon-16x16.png	//vmware-host/Shared%20Folders/Desktop/Source/chronicleplus/www.chronicle-web.com/plus/cache/images/icon/favicons/favicon-16x16.png	(from https://www.chronicle-web.com/plus/)
14:14:07	169/169	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Nov%202018%2007:14:07%20GMT	https://www.chronicle-web.com/plus/cache/images/icon/favicons/manifest.json	//vmware-host/Shared%20Folders/Desktop/Source/chronicleplus/www.chronicle-web.com/plus/cache/images/icon/favicons/manifest.json	(from https://www.chronicle-web.com/plus/)
14:14:07	951/951	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Jul%202017%2004:20:17%20GMT	https://www.chronicle-web.com/plus/cache/images/icon/favicons/safari-pinned-tab.svg	//vmware-host/Shared%20Folders/Desktop/Source/chronicleplus/www.chronicle-web.com/plus/cache/images/icon/favicons/safari-pinned-tab.svg	(from https://www.chronicle-web.com/plus/)
14:14:08	146082/146082	---MCZ	200	added ('OK')	text/css	date:Tue,%2025%20Sep%202018%2003:08:50%20GMT	https://www.chronicle-web.com/plus/cache/assets/themes/my-bootstrap/dist/css/bootstrap.css?_t=1541565603	//vmware-host/Shared%20Folders/Desktop/Source/chronicleplus/www.chronicle-web.com/plus/cache/assets/themes/my-bootstrap/dist/css/bootstrap7c50.css	(from https://www.chronicle-web.com/plus/)
14:14:08	27466/27466	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css?_t=1541565603	//vmware-host/Shared%20Folders/Desktop/Source/chronicleplus/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min7c50.css	(from https://www.chronicle-web.com/plus/)
14:14:09	9273/9273	---M-Z	200	added ('OK')	text/css	date:Tue,%2025%20Sep%202018%2003:08:34%20GMT	https://www.chronicle-web.com/plus/cache/assets/themes/my-bootstrap/css/global-navi.css?_t=1541565603	//vmware-host/Shared%20Folders/Desktop/Source/chronicleplus/www.chronicle-web.com/plus/cache/assets/themes/my-bootstrap/css/global-navi7c50.css	(from https://www.chronicle-web.com/plus/)
